"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"C-EUC0603K";"C0603K";"C3, C4";"CAPACITOR, European symbol";"";
"1";"";"JUMPER-PAD-3-NOYES_SILK";"PAD-JUMPER-3-NO_YES_SILK";"SJ1";"";"";
"4";"";"LEDSML0603";"SML0603";"LED1, LED2, LED3, PWR";"LED";"";
"1";"";"MA06-2";"MA06-2";"CN5";"PIN HEADER";"";
"1";"";"STM32F4-64";"SQFP-S-10X10-64";"U1";"STM32F4, 64 pin package";"";
"2";"100k";"R-EU_R0603";"R0603";"R7, R8";"RESISTOR, European symbol";"";
"8";"100n";"C-EUC0603K";"C0603K";"C6, C8, C9, C10, C11, C12, C14, C16";"CAPACITOR, European symbol";"";
"4";"10u";"C-EUC0603K";"C0603K";"C5, C17, C20, C21";"CAPACITOR, European symbol";"";
"1";"1u";"C-EUC0603K";"C0603K";"C15";"CAPACITOR, European symbol";"";
"1";"220n";"C-EUC0603K";"C0603K";"C18";"CAPACITOR, European symbol";"";
"4";"2k";"R-EU_R0603";"R0603";"R1, R2, R3, R4";"RESISTOR, European symbol";"";
"1";"32.768kHz";"CRYSTALS-NOGND-CFPX-217";"3.2X1.5-2-PAD";"X2";"CRYSTALS CAN NOT GROUNDED";"";
"2";"4k7";"R-EU_R0603";"R0603";"R5, R6";"RESISTOR, European symbol";"";
"3";"4u7";"C-EUC0603K";"C0603K";"C7, C13, C19";"CAPACITOR, European symbol";"";
"1";"8MHz";"CSTCR6M00G53Z";"CSTCR6M";"Q1";"Resonator";"";
"1";"LM1117IMPX-3.3";"LM1117IMPX-3.3";"SOT223";"IC1";"";"";
"1";"LSM9DS0";"LSM9DS0";"LGA-24";"U2";"LSM9DS0 3D Accelerometer, 3D Gyroscope, 3D Magnetomter";"";
"1";"MICRO_SD_CONNECTOR";"MICRO_SD_CONNECTOR";"MICROSD_CONNECTOR";"CN4";"MicroSD connector with SPI interface";"";
"1";"MPL115A";"MPL115A";"LGA8";"U3";"MPL115A1 (SPI) and MPL115A2 (I2C) Miniature Digital Barometer";"";
"1";"RESET";"JUMPER-PAD-3-NOYES_SILK";"PAD-JUMPER-3-NO_YES_SILK";"SJ2";"";"";
"1";"SWD";"MA04-1";"MA04-1";"CN2";"PIN HEADER";"";
"1";"UART";"MA04-1";"MA04-1";"CN3";"PIN HEADER";"";
"1";"USB";"MINI-USB-UX60-MB-5ST";"UX60-MB-5ST";"CN1";"MINI USB Connector";"";
